DM1581;Introduktion till medieteknik;6.0
SF1625;Envariabelanalys;7.5
DM1579;Medieproduktion;6.0
DM1578;Programintegrerande kurs i medieteknik;7.0
SF1624;Algebra och geometri;7.5
DD1318;Programmeringsteknik och tekniska beräkningar;9.0
SF1626;Flervariabelanalys;7.5
DD1320;Tillämpad datalogi;6.0
DH1622;Människa-datorinteraktion. inledande kurs;7.5
DM1135;Multimediasystem och signaler;7.5
DM1588;Sensorprogrammering för medieteknik;6.0
DM1590;Maskininlärning för medieteknik;7.5
DT1175;Ljud;7.5
SF1919;Sannolikhetsteori och statistik;6.0
SK1140;Fotografi för medieteknik;4.0
DH2642;Interaktionsprogrammering och dynamiska webben;7.5
DM128X;Examensarbete inom medieteknik. grundnivå;15.0
DM1595;Programutveckling för interaktiva medier;7.5
DM2573;Hållbarhet och medieteknik;7.5
ME1039;Industriell Ekonomi och Entreprenörskap inom Media och IKT;7.5
